Point 1,Point 2,Point 3,Point 4,Point 5,Point 6,Point 7,Point 8,Point 9,Point 10,Point 11,Point 12,Point 13,Point 14,Point 15,Point 16,Point 17,Point 18,Point 19,Point 20,Point 21,Point 22,Point 23,Point 24,Point 25,Point 26,Point 27,Point 28,Point 29,Point 30,Point 31,Point 32,Point 33,Point 34,Point 35,Point 36,Point 37,Point 38,Point 39,Point 40,Point 41,Point 42,Point 43,Point 44,Point 45,Point 46,Point 47,Point 48,Point 49,Point 50,Point 51,Point 52,Point 53,Point 54,Point 55,Point 56,Point 57,Point 58,Point 59,Point 60,Point 61,Point 62,Point 63,Point 64,Point 65,Point 66,Point 67,Point 68,Point 69,Point 70,Point 71,Point 72,Point 73,Point 74,Point 75,Point 76,Point 77,Point 78,Point 79,Point 80,Point 81,Point 82,Point 83,Point 84,Point 85,Point 86,Point 87,Point 88,Point 89,Point 90,Point 91,Point 92,Point 93,Point 94,Point 95,Point 96,Point 97,Point 98,Point 99,Point 100,Point 101,Point 102,Point 103,Point 104,Point 105,Point 106,Point 107,Point 108,Point 109,Point 110,Point 111,Point 112,Point 113,Point 114,Point 115,Point 116,Point 117,Point 118,Point 119,Point 120,Point 121,Point 122,Point 123,Point 124,Point 125,Point 126,Point 127,Point 128,Point 129,Point 130,Point 131,Point 132,Point 133,Point 134,Point 135,Point 136,Point 137,Point 138,Point 139,Point 140,Point 141,Point 142,Point 143,Point 144,Point 145,Point 146,Point 147,Point 148,Point 149,Point 150,Point 151,Point 152,Point 153,Point 154,Point 155,Point 156,Point 157,Point 158,Point 159,Point 160,Point 161,Point 162,Point 163,Point 164,Point 165,Point 166,Point 167,Point 168,Point 169,Point 170,Point 171,Point 172,Point 173,Point 174,Point 175,Point 176,Point 177,Point 178,Point 179,Point 180,Point 181,Point 182,Point 183,Point 184,Point 185,Point 186,Point 187,Point 188,Point 189,Point 190,Point 191,Point 192,Point 193,Point 194,Point 195,Point 196,Point 197,Point 198,Point 199,Point 200,Point 201,Point 202,Point 203,Point 204,Point 205,Point 206,Point 207,Point 208,Point 209,Point 210,Point 211,Point 212,Point 213,Point 214,Point 215,Point 216,Point 217,Point 218,Point 219,Point 220,Point 221,Point 222,Point 223,Point 224,Point 225,Point 226,Point 227,Point 228,Point 229,Point 230,Point 231,Point 232,Point 233,Point 234,Point 235,Point 236,Point 237,Point 238,Point 239,Point 240,Point 241,Point 242,Point 243,Point 244,Point 245,Point 246,Point 247,Point 248,Point 249,Point 250,Label
0.0,47767.0,51901.0,37844.0,49817.0,32837.0,40128.0,15900.0,22289.0,23668.0,17296.0,20315.0,20462.0,12191.0,11819.0,13768.0,14486.0,21468.0,4448.7,8929.7,11316.0,18558.0,6147.0,2372.2,2349.9,1591.2,1739.9,3114.3,1925.2,4652.7,3361.5,1792.2,4613.1,2480.2,2194.9,5533.4,2492.0,1095.3,6257.9,3077.6,2154.8,606.08,2172.0,1672.1,1021.6,2449.6,2160.9,1541.1,579.0,1657.9,1072.6,1838.2,1936.1,2330.2,1406.5,1747.0,845.35,3271.0,3104.4,818.48,665.92,727.99,609.82,1692.2,1188.2,1453.2,1220.7,1443.7,1467.6,1656.6,2192.7,1736.4,1949.8,2562.0,2315.4,597.06,1615.6,915.98,2655.3,1186.0,530.75,340.45,1606.6,278.92,761.12,1539.0,1204.3,1379.5,927.88,420.86,2276.5,3655.7,1100.5,1797.7,2073.8,1154.4,2485.7,2369.4,1629.5,1649.9,1216.6,1701.8,2021.8,1529.3,1166.9,1051.4,1591.9,1433.7,2157.0,985.76,1000.4,1370.4,2046.1,2686.6,1105.1,1858.7,1615.3,1241.7,393.78,702.23,1819.3,916.6,1963.8,1229.2,740.19,1447.0,741.25,309.88,2503.2,698.44,651.49,1983.1,1915.3,1016.0,1997.0,786.84,890.7,1781.3,341.43,1908.4,850.64,1043.9,1625.5,1440.4,185.74,2409.1,1600.3,1408.7,1699.8,420.19,1086.6,1341.0,1431.9,1639.6,549.12,572.3,2105.5,711.34,80.272,1205.5,1479.4,1070.5,1032.8,1123.1,1018.2,1134.6,1463.8,1680.7,643.25,1028.9,1283.7,558.31,2138.6,710.98,729.99,736.45,1048.2,1143.3,423.52,1206.5,424.93,1515.5,1219.2,566.42,1213.5,569.9,226.57,876.0,592.7,281.33,645.49,1036.7,254.27,1009.3,707.72,674.26,1322.8,711.96,270.5,659.17,282.87,520.51,295.65,636.79,643.03,546.07,432.13,1066.7,586.19,264.26,1043.3,912.58,667.7,508.24,665.51,371.03,994.05,253.18,535.51,490.04,208.44,245.48,550.48,637.05,322.83,365.54,626.5,260.71,282.43,880.96,637.34,315.64,644.39,415.36,492.88,48.741,556.54,335.38,275.89,660.1,340.68,397.02,25.704,240.77,319.98,146.52,251.0,276.51,379.4,62.72,contraction
0.0,18924.0,10866.0,12648.0,29452.0,3444.1,6008.3,10434.0,18043.0,7316.3,12442.0,6094.1,1234.3,5443.9,15234.0,7011.9,10747.0,15891.0,15387.0,9436.0,6853.9,13305.0,12669.0,3722.2,3977.2,8034.2,6408.9,3773.3,1582.0,2065.1,1285.3,2802.3,2506.0,1120.1,1108.1,427.61,1375.2,3185.9,3388.4,995.24,2411.8,833.02,3597.5,2299.2,4190.4,765.11,1429.7,627.56,782.43,2134.2,1541.5,2560.8,1626.2,2900.7,1254.5,961.73,3526.0,1195.8,437.11,2380.8,1102.3,2003.0,747.72,698.31,1002.7,1682.5,1020.7,2197.0,618.37,552.07,1474.7,1422.7,687.4,2152.3,336.92,1927.8,1404.4,1243.0,174.31,1609.8,384.27,1028.0,1722.9,1384.1,875.07,1239.5,2082.8,780.73,1221.1,298.16,1434.8,1190.6,2681.1,1185.9,1881.1,907.58,2025.3,1678.5,931.9,2271.3,2255.6,1348.1,157.78,838.79,943.03,274.25,1252.8,1286.2,620.31,1535.2,663.14,825.37,438.66,560.6,856.51,1410.6,1396.4,317.37,871.04,1567.7,612.99,130.84,428.46,779.63,975.74,527.04,632.48,882.46,1946.3,1337.0,2002.4,143.31,989.65,546.55,898.66,348.75,421.45,1306.2,567.97,1036.3,1217.7,1443.1,205.46,823.94,541.97,92.48,1523.4,806.88,215.24,1179.1,2539.6,1135.6,1066.7,1746.6,842.05,623.3,592.82,479.4,272.61,950.42,1046.6,220.06,787.08,1055.4,869.34,1096.2,548.25,666.03,1217.0,1155.3,734.3,293.83,1410.6,540.99,836.48,1381.3,285.02,211.75,1024.6,595.24,508.73,447.62,629.21,1191.4,187.63,1106.2,368.53,517.37,447.19,252.0,537.9,856.75,1156.5,234.08,667.47,500.76,818.39,664.87,317.55,507.7,1795.0,445.03,123.87,764.02,556.0,289.37,228.22,749.0,453.25,1052.0,243.0,445.19,658.53,374.78,440.07,664.7,410.85,371.64,1004.8,612.21,217.27,933.13,584.21,517.38,351.38,147.43,230.02,518.58,610.06,397.36,78.68,384.2,637.57,327.49,270.63,278.85,320.54,242.62,85.785,272.36,478.08,221.96,180.09,278.95,97.083,158.33,157.29,70.228,41.74,175.59,contraction
0.0,18232.0,32134.0,33887.0,14675.0,19730.0,4007.5,5118.2,5923.9,6333.9,515.59,3703.5,5471.7,3261.2,2549.9,4514.7,2382.9,2055.7,2050.5,3631.5,1037.6,2718.6,2914.3,1056.1,2775.6,1822.2,1252.5,1073.3,631.86,871.32,1278.0,1714.6,410.29,349.74,778.88,1207.5,778.9,635.86,839.83,406.73,439.27,896.6,191.83,600.86,671.6,1342.3,1085.7,430.57,381.72,657.05,246.99,649.85,254.13,1023.6,412.48,155.71,488.07,281.51,732.64,695.28,819.76,144.46,1173.4,384.46,210.95,176.73,871.85,390.69,439.66,651.19,802.73,468.36,769.51,94.057,682.68,324.38,806.65,461.0,498.8,532.28,408.81,257.24,228.67,1302.0,164.72,297.75,676.99,521.79,872.58,232.65,775.86,562.64,1068.0,622.52,129.3,462.03,521.74,408.34,261.68,500.97,1105.6,270.15,893.53,119.55,333.63,841.72,456.65,359.67,656.9,152.64,471.9,742.23,480.6,186.61,245.54,543.43,654.88,648.25,334.12,496.06,607.07,280.86,140.68,220.55,547.72,303.09,468.96,781.75,429.29,437.95,540.93,1036.0,499.41,762.72,372.38,140.29,509.01,363.15,623.11,589.07,513.95,165.88,178.27,690.08,426.77,405.38,143.63,851.24,81.822,611.53,625.61,194.35,295.12,197.85,239.26,394.36,418.12,494.67,128.8,494.69,800.76,368.12,189.87,593.79,205.15,652.42,301.14,494.97,265.0,310.57,243.86,408.84,376.79,435.11,772.31,656.23,45.436,191.53,408.97,78.739,627.03,243.2,158.7,279.74,604.49,50.973,333.82,179.94,392.63,261.23,221.73,245.1,333.9,754.99,207.38,504.31,329.84,94.633,308.06,295.33,266.56,806.24,293.48,612.46,186.33,224.56,398.47,269.75,300.71,375.29,467.67,136.9,192.17,169.8,45.422,144.92,144.16,400.59,542.07,177.47,148.5,154.31,86.691,157.85,219.8,173.98,439.88,269.13,192.66,288.47,300.53,118.36,282.49,227.33,60.357,190.89,131.65,151.57,80.344,123.09,73.765,269.52,127.91,102.91,133.23,43.42,184.95,113.16,138.27,78.504,contraction
0.0,18176.0,10650.0,6063.5,13978.0,11883.0,6157.6,8562.7,10272.0,2101.1,13019.0,5558.1,5688.3,7019.3,5233.0,5022.6,872.78,4137.7,4529.6,2898.3,4182.3,3301.6,3341.8,1896.7,1301.4,2228.6,328.7,2744.2,2023.5,1702.5,1377.3,2072.9,785.14,1790.7,1596.7,2803.1,447.51,956.7,1119.3,668.87,1126.6,675.76,748.66,1360.1,573.71,1056.8,1253.7,373.23,803.08,1169.6,549.85,191.63,558.33,528.02,947.43,667.25,1071.9,63.202,46.873,295.8,320.19,791.15,396.0,791.14,518.79,297.74,1019.3,1045.5,658.71,482.74,534.55,592.18,324.2,916.6,1640.5,774.24,892.15,670.8,63.814,600.08,948.46,630.58,528.02,773.11,559.38,1140.6,1170.3,485.37,373.76,598.23,656.61,368.85,560.47,389.53,605.01,901.19,477.98,274.06,742.05,871.34,284.3,445.35,552.58,141.83,108.34,308.08,683.28,463.75,594.38,592.61,423.01,269.62,567.74,68.725,766.15,1221.6,232.45,1098.7,351.32,253.55,1022.7,348.71,494.02,197.0,1016.7,585.09,618.9,374.87,412.1,397.59,118.13,576.59,287.19,231.48,821.13,621.02,509.91,415.09,437.06,408.01,326.4,243.55,369.23,615.82,207.29,285.16,371.13,776.77,367.54,634.86,1096.4,604.61,365.26,1266.3,390.43,304.29,104.92,339.3,656.75,829.86,410.47,145.62,156.67,158.88,1310.1,750.08,888.2,420.45,752.74,424.54,683.65,119.6,781.51,852.75,469.92,593.27,465.04,642.11,424.88,27.755,534.31,424.58,384.6,135.25,727.55,512.43,498.15,715.86,192.8,267.57,390.04,143.81,692.39,536.38,613.84,384.5,457.71,412.49,345.37,170.15,193.76,204.18,234.44,380.22,118.44,258.61,288.19,434.54,403.27,141.9,303.51,201.05,94.82,524.28,98.788,381.92,204.85,247.72,318.92,336.92,162.64,335.19,73.558,319.15,417.46,177.89,87.147,114.74,152.64,55.937,177.45,175.31,105.03,51.476,113.13,351.15,153.1,195.6,216.2,149.84,82.584,127.9,129.41,39.803,29.751,188.15,45.678,120.14,200.71,217.26,contraction
0.0,9847.5,9462.1,15637.0,21832.0,17399.0,14786.0,10395.0,9678.3,9931.8,11316.0,7037.2,6683.4,8567.3,4708.9,7561.6,6211.1,4241.9,5864.6,5868.5,4403.8,3669.8,1158.6,1608.2,2493.0,2682.6,2809.4,3901.3,2835.7,2010.9,2573.9,1304.1,3177.9,4578.7,2350.5,2329.3,3982.7,2540.2,1967.5,2532.6,842.01,1269.1,1594.1,208.03,1272.6,2144.6,551.76,1264.8,1789.3,982.82,2668.9,2140.1,1183.9,519.94,1072.1,779.06,2627.8,3002.4,667.93,1311.8,486.92,823.3,2467.8,1840.6,1313.5,1696.9,2505.9,1011.2,1082.6,695.71,1226.5,2930.3,1548.7,1403.5,1093.1,1087.6,960.53,1555.0,1009.6,670.5,784.22,1484.7,1509.2,2112.8,1201.7,950.21,1162.4,575.29,1046.7,748.24,1068.1,412.57,950.57,585.38,227.67,1670.1,1399.2,527.84,1455.1,471.72,2016.7,1897.0,2009.9,383.51,651.83,1149.9,353.91,325.33,627.74,1543.1,743.67,1161.4,2194.0,1419.9,2207.6,970.65,753.08,588.74,536.59,605.24,891.38,1913.7,1425.7,987.25,1082.4,604.28,1300.2,1122.2,1047.1,664.12,683.93,2288.5,1317.2,144.53,1276.3,367.79,1264.1,947.78,1199.9,1068.8,2229.2,558.61,1077.1,933.66,440.7,1383.4,1074.7,1119.9,318.09,328.77,1413.3,1474.5,1253.2,1283.5,1515.5,954.65,744.13,2180.4,1949.9,1153.3,530.11,419.28,804.5,925.39,1927.1,1359.3,1089.2,1875.8,411.56,983.01,1393.8,931.64,760.61,807.8,451.76,949.55,1601.7,1744.5,1774.7,183.35,497.8,2168.2,1123.3,600.48,607.67,1427.4,259.07,573.56,1187.6,1048.6,711.51,473.33,140.55,545.6,568.47,1006.0,976.58,1892.4,804.08,353.26,424.13,690.75,772.62,615.58,144.73,162.78,183.68,1127.9,721.95,715.11,479.63,312.61,414.55,600.94,390.16,477.84,423.31,627.31,194.22,690.6,587.45,635.67,478.89,494.03,210.38,244.96,165.27,328.33,306.33,508.0,315.27,246.74,341.5,214.57,303.11,249.86,33.431,192.15,254.24,468.96,372.51,312.64,325.14,107.38,51.309,170.83,212.48,147.8,107.61,156.84,contraction
0.0,6955.4,6008.7,6499.5,8443.4,4259.1,11589.0,4729.7,7121.8,4000.4,3605.5,3875.3,1375.2,3363.2,5448.0,4362.3,3054.4,1967.9,1690.0,2267.3,236.62,903.17,2270.4,667.45,1381.0,1562.0,164.86,818.05,957.88,1067.9,1296.8,966.64,166.05,606.08,586.03,618.23,344.2,476.43,840.73,149.77,335.99,972.62,320.69,248.52,539.36,570.9,789.55,385.23,525.61,544.94,635.24,639.94,120.81,456.12,536.51,188.81,455.33,340.96,566.8,631.65,613.71,453.4,277.04,220.82,395.83,776.52,408.03,577.2,392.35,181.35,360.26,227.86,230.4,424.55,500.05,504.78,233.18,541.52,361.74,544.78,157.15,615.44,640.73,706.61,222.68,288.05,253.51,504.24,363.11,375.93,166.83,239.32,633.67,431.8,368.06,296.71,479.32,413.58,559.65,676.1,275.85,206.25,218.43,423.51,176.41,346.27,99.017,705.8,333.4,136.8,255.33,666.72,431.91,276.38,124.51,117.95,362.17,240.23,96.44,286.34,182.83,116.74,93.256,300.43,476.62,949.74,356.92,206.64,245.22,471.85,74.313,737.36,318.63,328.72,266.2,380.02,181.32,386.2,351.64,561.02,397.76,340.26,186.68,614.97,285.89,285.44,357.18,331.37,329.04,107.95,403.22,302.71,100.42,795.3,756.9,286.96,530.08,309.93,393.09,423.93,586.62,383.35,354.36,157.99,622.95,319.24,257.56,572.54,168.36,337.63,253.43,337.08,588.47,565.3,387.54,308.42,391.77,308.31,987.45,254.62,424.31,223.18,628.19,307.48,503.48,287.19,171.57,224.54,622.43,379.32,407.08,111.31,107.2,184.94,279.62,442.28,292.69,649.08,602.73,195.97,214.25,243.65,220.74,323.55,287.5,156.38,377.22,96.906,270.09,193.1,191.99,467.9,291.51,274.73,362.15,396.11,274.63,400.09,142.97,226.24,140.26,275.71,26.167,217.22,140.81,86.999,55.587,176.94,203.83,152.43,297.29,276.11,128.64,178.02,139.53,131.27,177.14,129.53,152.16,111.81,64.785,38.365,15.984,185.24,40.236,197.73,13.081,131.74,45.638,100.31,contraction
0.0,10275.0,17028.0,15248.0,12838.0,6357.0,6356.9,4849.1,8120.4,8823.1,8292.5,3151.9,3547.4,4941.5,1763.6,1502.3,1469.8,1404.0,858.81,1074.9,732.58,1809.0,390.0,288.74,1357.0,669.11,482.01,1151.3,847.19,501.28,104.7,934.1,593.19,111.98,601.74,299.29,803.18,480.35,609.88,746.18,302.65,1278.1,263.42,581.19,1084.3,724.75,234.08,829.18,1160.1,519.16,845.87,737.91,729.59,523.97,578.23,421.08,728.69,190.33,885.38,269.23,320.98,908.03,338.46,265.98,600.9,909.72,255.78,656.44,651.55,317.63,364.02,855.36,786.45,308.75,198.07,348.55,536.3,534.94,476.96,318.15,758.42,227.41,567.15,273.29,255.65,540.74,371.83,514.25,313.66,154.06,563.65,571.6,427.31,110.29,1001.8,632.45,683.96,628.38,463.03,389.65,181.29,437.9,1094.5,490.96,347.94,529.66,568.33,949.27,532.59,906.12,562.12,885.13,823.04,345.68,731.11,642.7,634.6,564.19,753.62,271.91,799.12,936.13,216.26,807.63,1001.8,303.33,599.19,312.49,313.7,726.98,784.98,289.56,153.8,761.76,705.17,762.23,207.97,631.79,555.5,67.196,921.76,779.1,604.94,494.69,413.33,199.11,143.3,309.76,238.66,261.01,513.23,195.8,1056.5,657.84,377.77,640.94,127.94,507.49,376.29,755.32,521.69,706.34,676.45,418.07,978.42,306.98,195.94,615.15,476.5,292.99,393.29,481.23,182.9,231.09,381.18,355.93,742.75,647.49,262.55,509.94,694.62,543.12,566.5,666.94,591.89,280.14,452.13,735.91,422.6,687.12,406.95,936.52,205.95,650.56,578.62,434.64,212.28,478.83,365.42,215.34,222.7,778.68,718.02,427.68,740.17,561.78,610.05,659.17,523.6,358.45,152.63,451.06,327.15,585.03,539.71,383.55,147.13,440.11,293.42,245.33,703.8,353.59,330.24,37.401,322.2,221.15,44.247,276.02,259.5,125.57,116.27,342.79,102.62,144.62,308.67,62.132,28.902,229.54,109.14,118.95,134.6,113.49,104.79,268.5,119.55,41.925,51.001,154.5,36.919,90.937,contraction
0.0,16180.0,15319.0,20222.0,32166.0,13106.0,15458.0,13560.0,13814.0,10014.0,6710.7,7181.6,6598.4,4234.9,3178.7,6262.7,4098.3,4402.5,2850.6,3409.4,2907.1,2457.0,2611.1,1660.3,2652.0,1539.2,2958.4,1548.1,2699.1,2253.4,947.64,3176.0,1365.0,2474.8,1293.5,1412.4,1508.9,743.08,2108.0,1261.7,977.19,1249.2,1200.2,902.4,1194.0,712.81,712.53,929.21,1279.1,394.74,1005.1,1552.8,1397.6,1192.7,845.06,961.24,567.23,703.61,1042.6,1123.9,1317.7,608.94,694.03,482.49,384.66,596.0,510.91,613.27,949.09,380.94,987.02,840.15,414.32,482.35,452.24,682.03,704.74,462.21,762.32,945.07,286.68,744.86,744.95,368.85,693.25,122.12,920.25,714.09,308.13,612.76,412.51,164.7,607.47,176.86,340.25,786.06,553.75,1616.3,838.49,254.33,966.42,574.06,817.33,836.71,603.18,643.25,401.22,629.91,522.7,291.55,545.48,366.64,466.12,591.48,669.56,805.86,1011.7,660.8,578.31,115.76,184.47,244.69,559.88,365.88,396.33,544.72,913.16,310.62,794.66,852.17,513.65,536.81,245.85,872.43,608.17,184.56,757.9,776.1,54.391,727.26,268.77,374.73,470.21,298.89,764.31,405.57,216.16,352.44,424.57,683.6,424.46,559.33,141.44,500.11,471.82,494.61,448.37,543.85,441.73,480.27,818.04,624.37,213.07,173.66,217.24,388.19,111.47,389.63,495.0,481.46,503.97,553.78,636.81,698.31,754.01,426.66,196.38,304.37,222.4,548.33,488.89,359.94,730.09,359.0,594.18,427.99,676.86,602.53,312.37,547.07,398.15,86.155,679.83,502.65,119.43,530.63,432.25,394.0,398.5,301.01,858.14,536.26,210.43,609.01,36.853,814.15,334.26,137.22,384.48,341.28,230.93,22.263,444.16,489.32,398.56,327.84,358.97,269.67,310.69,17.593,133.81,386.25,197.94,182.34,32.291,454.44,273.46,116.25,269.93,114.23,210.89,215.62,140.95,139.08,157.08,210.2,99.532,255.07,194.93,289.55,194.52,86.502,140.07,34.7,63.53,93.992,112.21,78.472,42.343,184.52,contraction
0.0,7168.9,26278.0,19586.0,29141.0,20529.0,13814.0,13916.0,11535.0,21227.0,31369.0,21251.0,30316.0,15125.0,24416.0,6375.2,23831.0,13852.0,24052.0,22416.0,16241.0,13428.0,13774.0,8905.5,9154.0,9319.8,11836.0,6905.3,4901.8,3758.7,3847.2,3373.5,6373.8,4688.9,5478.5,4560.1,5513.0,2318.2,2779.3,3049.0,2230.7,2656.4,3933.2,4673.0,2069.7,3880.5,2459.6,838.97,517.48,2392.3,2633.4,2534.7,3293.2,2653.7,3702.8,2597.8,2483.3,2455.1,2562.9,889.16,1284.3,1038.9,1029.7,588.52,1021.7,1805.4,2164.5,2978.4,1812.2,3224.9,1573.4,2551.7,1629.1,1958.7,688.66,1236.3,1970.9,1555.3,1755.7,1278.4,1078.4,1119.9,2166.0,1492.1,1691.8,1458.4,814.36,606.74,211.26,1381.0,796.85,377.73,2145.1,1191.5,2346.9,942.34,893.89,277.72,917.06,1119.5,1258.1,899.95,284.19,772.32,1315.6,407.0,654.48,976.89,1493.7,296.99,1036.9,1294.3,1514.7,1320.9,823.47,1269.7,648.69,1862.1,2142.5,1715.9,503.99,1212.0,680.92,1589.4,602.2,723.87,1358.5,1237.1,714.56,644.5,1471.9,338.06,790.45,779.39,1057.4,1852.1,850.15,499.94,308.5,274.69,562.94,468.8,299.35,1602.8,1346.4,1045.0,605.24,664.11,664.24,917.74,265.67,741.78,751.71,1211.7,1215.2,1182.1,1163.6,541.65,1390.6,314.3,1038.4,623.23,1600.2,1071.6,387.25,422.79,1187.1,732.94,409.58,302.73,292.28,685.65,757.08,1603.9,564.91,408.79,363.12,472.67,286.48,927.55,1280.9,1461.7,525.24,424.68,247.2,271.87,146.07,500.33,1190.9,589.75,849.11,759.39,203.73,114.4,156.45,515.31,321.52,347.86,1260.3,311.91,855.15,833.11,596.55,419.16,404.31,337.05,677.45,756.64,416.53,435.19,447.43,1120.1,976.68,724.74,872.71,595.69,57.444,628.62,563.35,250.15,505.69,372.81,536.67,628.37,781.69,309.42,159.18,567.49,345.38,388.44,324.0,115.3,268.26,195.69,171.23,303.99,61.895,190.0,262.41,208.4,341.61,189.51,241.65,177.99,187.37,183.09,162.93,115.12,80.153,54.891,contraction
0.0,9488.3,34958.0,14642.0,389.84,22430.0,16735.0,14360.0,8172.1,9174.2,6390.9,8493.2,8984.1,11394.0,6803.8,4128.7,2247.2,4379.3,6756.4,8114.3,2738.5,5940.4,4748.8,2519.4,3367.3,4855.8,3796.2,5145.9,3648.2,3894.1,5308.5,4913.0,4826.8,3104.2,2029.4,1815.4,1844.1,2609.3,2832.2,2107.2,2204.9,1479.5,2386.1,2776.4,3396.8,799.13,1332.1,1668.6,2979.2,2678.2,2269.2,2377.4,2460.1,1399.9,949.81,1007.4,141.34,622.52,712.6,726.84,1652.0,3161.1,1724.7,2686.3,2128.6,1210.3,599.19,466.57,756.3,1672.2,1080.6,1337.8,895.05,672.97,1938.5,1977.6,1863.4,847.31,179.8,1178.6,1248.1,691.84,1016.3,1451.3,597.05,318.79,1179.4,331.19,773.25,207.28,80.484,629.27,556.9,673.5,637.2,1117.3,601.84,1032.4,1313.8,555.1,902.85,182.1,786.21,339.6,610.24,406.32,1016.7,313.48,1099.1,728.27,691.14,863.67,590.74,316.6,1160.3,360.52,644.28,1321.5,1020.3,1642.3,733.68,585.67,1677.1,738.09,679.96,446.99,589.92,510.18,1904.5,508.0,1111.7,636.54,1139.5,2100.2,1597.9,365.45,840.5,1169.1,323.81,1036.8,742.38,1035.0,1146.9,721.48,1129.8,1012.6,806.99,1167.8,476.84,555.52,130.91,1133.7,494.92,1211.1,932.27,899.42,374.68,1341.3,1099.1,488.67,240.59,186.3,300.16,510.33,462.44,281.54,454.17,1212.1,516.17,676.5,996.26,463.25,178.47,173.04,554.65,468.85,912.99,1425.0,559.4,253.97,823.98,409.05,460.9,956.05,396.44,903.97,777.98,1297.0,222.7,175.31,677.52,827.32,400.22,620.07,237.14,969.14,1116.6,879.84,933.48,999.09,888.51,631.31,416.72,46.816,979.7,647.72,1303.3,326.62,351.45,1370.6,824.03,724.69,515.91,202.02,87.853,508.59,287.05,304.29,767.63,697.27,497.7,196.42,493.51,690.3,398.38,293.36,554.58,246.77,734.38,474.45,484.33,491.68,537.94,498.02,219.14,478.15,498.24,287.02,429.19,117.45,317.25,654.64,544.03,699.59,377.61,424.73,255.56,334.14,205.18,279.73,contraction
